State,Incident Date,# Killed,Age
Missouri,"November 20, 2019",1,Child
South Carolina,"November 16, 2019",1,Child
South Carolina,"November 15, 2019",1,Child
Pennsylvania,"November 11, 2019",1,Child
Texas,"November 2, 2019",1,Child
Texas,"November 1, 2019",1,Child
Indiana,"October 23, 2019",1,Child
Indiana,"October 17, 2019",1,Child
Alabama,"October 5, 2019",1,Child
South Carolina,"October 5, 2019",1,Child
Missouri,"September 24, 2019",1,Child
Texas,"September 15, 2019",1,Child
Texas,"September 15, 2019",1,Child
Missouri,"September 12, 2019",1,Child
Alabama,"September 1, 2019",1,Child
Florida,"August 24, 2019",1,Child
Pennsylvania,"August 20, 2019",1,Child
Oklahoma,"August 17, 2019",1,Child
Alabama,"August 16, 2019",1,Child
West Virginia,"August 14, 2019",1,Child
Texas,"August 14, 2019",1,Child
Virginia,"August 2, 2019",1,Child
Montana,"August 1, 2019",1,Child
Arizona,"July 30, 2019",1,Child
Arizona,"July 30, 2019",1,Child
Illinois,"July 28, 2019",1,Child
Louisiana,"June 30, 2019",1,Child
Louisiana,"June 28, 2019",1,Child
Tennessee,"June 24, 2019",1,Child
Mississippi,"June 23, 2019",1,Child
Texas,"June 21, 2019",1,Child
South Carolina,"June 20, 2019",1,Child
Wisconsin,"June 18, 2019",1,Child
Wisconsin,"June 17, 2019",1,Child
Georgia,"June 12, 2019",1,Child
South Carolina,"June 10, 2019",1,Child
Idaho,"June 9, 2019",1,Child
Virginia,"May 26, 2019",1,Child
Tennessee,"May 25, 2019",1,Child
Louisiana,"May 25, 2019",1,Child
Missouri,"May 17, 2019",1,Child
Arkansas,"May 17, 2019",1,Child
Oklahoma,"May 16, 2019",1,Child
Ohio,"May 12, 2019",1,Child
Tennessee,"May 11, 2019",1,Child
Texas,"May 2, 2019",1,Child
Ohio,"April 20, 2019",1,Child
Alabama,"April 13, 2019",1,Child
Georgia,"April 8, 2019",1,Child
North Carolina,"March 22, 2019",1,Child
Florida,"March 16, 2019",1,Child
South Carolina,"February 23, 2019",1,Child
Louisiana,"February 13, 2019",1,Child
Mississippi,"February 9, 2019",2,Child
Georgia,"February 3, 2019",1,Child
Virginia,"January 21, 2019",1,Child
Kansas,"January 21, 2019",1,Child
Texas,"January 19, 2019",2,Child
Texas,"January 16, 2019",1,Child
Alabama,"January 13, 2019",1,Child
Louisiana,"January 12, 2019",1,Child
Florida,"December 26, 2018",1,Child
Missouri,"December 14, 2018",1,Child
Michigan,"December 14, 2018",1,Child
Indiana,"November 29, 2018",1,Child
Oregon,"November 24, 2018",1,Child
Georgia,"November 22, 2018",1,Child
Texas,"November 18, 2018",1,Child
Arkansas,"November 17, 2018",1,Child
Georgia,"November 15, 2018",1,Child
Alabama,"November 14, 2018",1,Child
Arkansas,"November 8, 2018",1,Child
Missouri,"November 6, 2018",1,Child
Alabama,"November 4, 2018",1,Child
Oregon,"November 4, 2018",1,Child
Colorado,"October 21, 2018",1,Child
Tennessee,"October 21, 2018",1,Child
Virginia,"October 8, 2018",1,Child
Georgia,"October 6, 2018",1,Child
Ohio,"October 5, 2018",1,Child
Tennessee,"September 30, 2018",1,Child
Texas,"September 27, 2018",1,Child
South Carolina,"September 24, 2018",1,Child
Arkansas,"September 22, 2018",1,Child
Louisiana,"September 17, 2018",1,Child
Kentucky,"September 4, 2018",1,Child
Indiana,"September 4, 2018",1,Child
Kentucky,"August 31, 2018",1,Child
Maryland,"August 28, 2018",1,Child
Illinois,"August 26, 2018",1,Child
Louisiana,"August 17, 2018",1,Child
Kentucky,"August 15, 2018",1,Child
Tennessee,"August 8, 2018",1,Child
Tennessee,"August 4, 2018",1,Child
Alaska,"July 27, 2018",1,Child
